ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_6,loop_6,stream_6,latency_12,loop_12,stream_12
"RSQVector<RSSupportPlain>",4,131072,1.131,1,21.65,21.21,21.55,3.59,3.61,3.63,3.47,3.42,3.54
"RSQVector<RSSupportPlain>",4,131072,1.131,0,13.41,9.47,10.01,2.25,1.62,1.69,1.72,1.51,1.67
"RSQVector<RSSupportPlain<512>>",4,131072,1.069,1,44.44,44.60,45.34,7.41,7.82,7.54,8.46,8.45,8.78
"RSQVector<RSSupportPlain<512>>",4,131072,1.069,0,20.50,18.38,19.69,3.32,3.06,3.31,2.92,2.89,3.12
"FlatTextWithRankSupport<i64>",4,131072,2.672,1,17.93,6.11,10.72,3.00,1.04,2.05,1.64,0.99,1.74
"FlatTextWithRankSupport<i64>",4,131072,2.672,0,17.19,5.02,10.05,2.88,1.17,1.68,1.53,0.77,1.52
"FlatTextWithRankSupport<i64, Block512>",4,131072,2.075,1,29.16,20.58,24.73,4.88,3.48,4.70,3.41,3.26,4.10
"FlatTextWithRankSupport<i64, Block512>",4,131072,2.075,0,21.03,10.08,12.51,3.50,1.69,2.14,2.14,1.50,2.01
"CondensedTextWithRankSupport<i64>",4,131072,1.506,1,13.48,13.22,16.79,2.26,2.21,2.79,2.26,2.20,2.80
"CondensedTextWithRankSupport<i64>",4,131072,1.506,0,9.53,5.14,9.15,1.61,0.92,1.52,0.96,0.84,1.51
"CondensedTextWithRankSupport<i64, Block512>",4,131072,1.072,1,25.41,25.12,28.50,4.26,4.20,5.05,4.13,4.12,5.05
"CondensedTextWithRankSupport<i64, Block512>",4,131072,1.072,0,24.38,14.85,21.35,4.11,2.57,3.58,2.56,2.29,3.18
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,131072,2.002,1,14.52,4.72,4.98,2.43,0.81,0.87,1.33,0.76,0.83
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,131072,2.002,0,10.49,4.21,4.17,1.92,0.73,0.74,1.06,0.67,0.77
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,131072,1.334,1,16.02,6.85,6.92,2.69,1.15,1.17,1.51,0.98,1.15
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,131072,1.334,0,11.67,5.27,6.08,1.96,0.92,1.03,1.18,0.85,1.05
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,131072,1.146,1,17.60,8.03,8.02,2.96,1.34,1.36,1.73,1.24,1.33
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,131072,1.146,0,13.10,6.51,7.47,2.23,1.45,1.53,1.40,1.02,1.23
"RSNarrow",2,524288,1.251,0,9.43,3.39,4.12,1.58,0.88,1.01,0.88,0.54,0.70
"RSWide",2,524288,1.033,0,20.29,13.55,14.22,3.35,2.28,2.35,2.11,1.87,2.02
"CondensedTextWithRankSupport<i64>",2,524288,1.504,0,8.77,3.27,7.20,1.46,0.56,1.51,0.80,0.52,1.17
"CondensedTextWithRankSupport<i64, Block512>",2,524288,1.067,0,17.15,7.02,10.39,2.99,1.72,2.07,1.71,1.37,2.08
